Accademie e Biblioteche d'Italia	ABI
Sprachkunst: Beiträge zur Litteraturwissenschaft	Sprachkunst
Sprachspiegel: Schweizerische Zeitschrift für die deutsche Muttersprache	Spsp
Sprachwissenschaft	Sprachwiss
Språkvård: Tidskrift Utgiven av Svenska Språknämnden	Språkvård
Stanford French Review	SFR
Stanford German Studies	SGerS
Stanford Slavic Studies	StSS
Stasinos: The Bulletin of the Greek Philologists	Stasinos
Steaua	Steaua
Steinbeck Monograph Series	StMS
Steinbeck Quarterly	StQ
Stendhal Club: Revue Internationale d'Etudes Stendhaliennes. Nouvelle Série. Revue Trimestrielle	SC
Stimmen der Zeit	SZ
Stockholm Studies in English	SSEL
Studi Danteschi	SD
Studi di Filologia Italiana: Bollettino Annuale dell'Accademia della Crusca	SFI
Studi di Grammatica Italiana	StGrI
Studi di Letteratura Ispano-Americana	SLIA
Studi e Problemi di Critica Testuale	SPCT
Studi e Saggi Linguistici	SeSL
Studi Francescani: Trimestrale di Vita Culturale e Religiosa a Cura dei Frati Minori d'Italia	SFran
Studi Francesi	SFr
Studi Germanici	StG
Studi Italiani di Linguistica Teorica ed Applicata	SILTA
Studi Medievali	SMed
Studi Mediolatini e Volgari	SMV
Studi Romani: Rivista Trimestrale dell'Istituto Nazionale di Studi Romani	SRo
Studi Secenteschi	SSe
Studi sul Boccaccio	SBoc
Studi Trentini di Scienze Storiche	STr
Studia Anglica Posnaniensia: An International Review of English Studies	SAP
Studia Celtica	StC
Studia Fennica Ethnologica	SFenE
Studia Fennica Folkloristica	SFenF
Studia Fennica Linguistica	SFenL
Studia Hibernica	SH
Studia Iranica	StudiaI
Studia Islamica	StIsl
Studia Islandica: Íslenzk Fræõi	StudIsl
Studia Linguistica	SL
Studia Logica: An International Journal for Symbolic Logic	SLog
Studia Monastica	StM
Studia Neophilologica: A Journal of Germanic and Romance Languages and Literature	SN
Studia Phonetica	SPh
Studia Slavica Academiae Scientiarum Hungaricae	SSASH
Studia Slavica Finlandensia	SSFin
Studia Staropolskie	StuSta
Studiekamraten	Studiekamraten
Studien und Texte zur Sozialgeschichte der Literatur	STSL
Studien zu den Bogazköy-Texten	StBoT
Studier i Modern Språkvetenskap	SMS
Studies: An Irish Quarterly Review	Studies
Studies in African Linguistics	SAL
Studies in American Drama, 1945-Present	SAD
Studies in American Fiction	SAF
Studies in American Humor	StAH
Studies in American Jewish Literature	SAJL
Studies in Bibliography: Papers of the Bibliographical Society of the University of Virginia	SB
Studies in Browning and His Circle: A Journal of Criticism, History, and Bibliography	SBHC
Studies in Canadian Literature/Etudes en Littérature Canadienne	SCL
Studies in Contemporary Satire: A Creative and Critical Journal	StCS
Studies in Descriptive Linguistics	SDL
Studies in Eighteenth-Century Culture	SECC
Studies in English and Comparative Literature	SECL
Studies in English Language and Literature (Seinan Gakuin University)	SELL-SG
Studies in English Literature	SELit
Studies in German Literature, Linguistics, and Culture	SGLLC
Studies in Language: International Journal Sponsored by the Foundation Foundations of Language	SLang
Studies in Latin American Popular Culture	SLAPC
Studies in Medieval English Language and Literature	SMELL
Studies in Philology	SP
Studies in Puritan American Spirituality	SPAS
Studies in Religion/Sciences Religieuses: Revue Canadienne/A Canadian Journal	SRC
Studies in Romanticism	SIR
Studies in Scottish Literature	SSL
Studies in Second Language Acquisition	SSLA
Studies in Short Fiction	SSF
Studies in Slavic and General Linguistics	SSGL
Studies in Slavic Literature and Poetics	SSLP
Studies in the Age of Chaucer: The Yearbook of the New Chaucer Society	SAC
Studies in the American Renaissance	SAR
Studies in the Literary Imagination	SLitI
Studies in the Novel	SNNTS
Studies in Twentieth Century Literature	StTCL
Studies in Weird Fiction	StWF
Studies on Voltaire and the Eighteenth Century	SVEC
Studii si Cercetari Lingvistice	StCL
Studium	Studium
Stuttgarter Arbeiten zur Germanistik	SAG
Stvaranje: Casopis za Knjizevnost i Kulturu	Stvaranje
Style	Style
SubStance: A Review of Theory and Literary Criticism	SubStance
Sudetenland	Sudetenland
Sumlen: Årsbok för Vis- och Folkmusikforskning	Sumlen
Suomalaisen Kirjallisuuden Seuran Toimituksia	SKS
Suomen Antropologi/Antropologi i Finland	SAnt
Suplementos Anthropos: Materiales de Trabajo Intelectual	SupA
Supostavitelno Ezikoznanie/Sopostavitel'noe Jazykoznanie/Contrastive Linguistics	SEzik
Surfaces [Electronic publication]	Surfaces
Susquehanna University Studies	SUS
Suvremena Lingvistika	SuvL
Svenska Landsmål och Svenskt Folkliv	SLSF
Svensklärarföreningens Årsskrift	SlfÅ
Svoboda: Ukrainian Daily	Svoboda
Swedish-American Historical Quarterly	SAHQ
Swedish Book Review	SBR
Swiss Papers in English Language and Literature	SPELL
Sydsvenska Ortnamnssällskapets Årsskrift/The Annual Journal of the South Swedish Place-Name Society	SOÅ
Symposium: A Quarterly Journal in Modern Foreign Literatures	Symposium
Syn og Segn: Norsk Tidsskrift	SoS
Synthese: An International Journal for Epistemology, Methodology and Philosophy of Science	Synthese
Synthesis: Bulletin du Comité National Roumain de Littérature Comparée et de l'Institut d'Histoire et de Théorie Littéraire G. Clainescu de l'Académie Roumaine	Synthesis
Syracuse University Library Associates Courier	Courier
Szinház: Theatre, Theoretical and Critical Journal of Theatrical Arts	Szinház
T. A. Informations: Revue Internationale du Traitement Automatique du Langage	TAI
T'oung Pao: Revue Internationale de Sinologie	TPA
Taal en Tongval	TeT
Talisman: A Journal of Contemporary Poetry and Poetics	Talisman
Tamarack: Journal of the Edna St. Vincent Millay Society	Tamarack
Tamkang Review: A Quarterly of Comparative Studies between Chinese and Foreign Literatures	TkR
Tarbiz: A Quarterly for Jewish Studies	Tarbiz
Target: International Journal of Translation Studies	Target
TDR: The Drama Review: A Journal of Performance Studies	TDRev
Teatro del Siglo de Oro: Ediciones Crítcas	TSO
Teksty Drugie: Teoria Literatury-Krytyka-Interpretacja	TekstyD
Temenos: Studies in Comparative Religion Presented by Scholars in Denmark, Finland, Norway and Sweden	Temenos
Temps Modernes	TM
Tennessee Folklore Society Bulletin	TFSB
Tennessee Studies in Literature	TStL
The Tennyson Research Bulletin	TRB
Teología Espiritual	TE
Teoría Litéraria: Texto y Teoria	TLit
TESOL Quarterly	TESOLQ
Tessera	Tessera
The Texas Review	TexasR
Texas Studies in Literature and Language	TSLL
Text and Performance Quarterly	TPQ
Text + Kritik: Zeitschrift für Literatur	TuK
Text: Transactions of the Society for Textual Scholarship	Text
Texte der Hethiter	THeth
Texte: Revue de Critique et de Théorie Littéraire	Texte
Textes Littéraires Français	TLF
Texto Crítico	TCrit
Textual Practice	TexP
Textus: Annual of the Hebrew University Bible Project	Textus
Thalia: Studies in Literary Humor	Thalia
Theater	Theater
TheaterZeitSchrift: Beiträge zu Theater, Medien, Kulturpolitik	TZS
Theatre Annual	TA
Theatre History in Canada/Histoire du Théâtre au Canada	THIC
Theatre History Studies	THStud
Theatre Journal	TJ
Theatre Notebook: A Journal of the History and Technique of the British Theatre	TN
Theatre Research International	ThR
Theatre Studies	TheatreS
Theatre Survey: The Journal of the American Society for Theatre Research	ThS
Themes in Drama	ThD
Theoria: A Journal of Studies in the Arts, Humanities and Social Sciences	Theoria
Thesaurismata	Thesaurismata
Thesaurus: Boletín del Instituto Caro y Cuervo	Thesaurus
Third Rail: A Review of International Arts & Literature	ThirdR
The Thomas Hardy Journal	THJ
The Thomas Hardy Yearbook	THY
Thomas Mann Jahrbuch	TMJ
Thomas-Mann-Studien	ThMS
The Thomas Wolfe Review	TWN
Thoreau Society Bulletin	TSB
Thought: A Review of Culture and Idea	Thought
Tidskrift för Litteraturvetenskap	TfL
Tijdschrift voor Nederlandse Taal- en Letterkunde	TNTL
Tirade	Tirade
Tlalocan: Revista de Fuentes para el Conocimiento de las Culturas Indigenas de México	Tlalocan
Tohogaku: Eastern Studies	Tohogaku
Tohoku Gakuin University Review: Essays and Studies in English Language and Literature [Tohoku Gakuin Daigaku Ronshu, Eigo- Eibungaku]	ESELL
Tolstoy Studies Journal	TSJ
Tools & Tillage: A Journal on the History of the Implements of Cultivation and Other Agricultural Processes	T&T
Topic: A Journal of the Liberal Arts	Topic
Topics in Sociolinguistics	TiS
La Torre: Revista de la Universidad de Puerto Rico	Torre
Trabalhos em Linguistica Aplicada	TLA
Tradisjon: Tidsskrift for Folkeminnevitskap	Tradisjon
Traditio: Studies in Ancient and Medieval History, Thought, and Religion	Traditio
Tradition: A Journal of Orthodox Jewish Thought	Tradition
Traditiones: Zbornik Instituta za Slovensko Narodopisje	TZI
The Transactions of the Asiatic Society of Japan	TASJ
Transactions of the Cambridge Bibliographical Society	TCBS
Transactions of the Gaelic Society of Inverness	TGSI
Transactions of the Honourable Society of Cymmrodorion	THSC
Transactions of the Philological Society	TPS
Transactions of the Wisconsin Academy of Sciences, Arts, and Letters	TWA
Transactions of the Yorkshire Dialect Society	TYDS
Translation	Translation
Translation Review	TRev
Travaux d'Humanisme et Renaissance	THR
Travaux de Linguistique: Revue Internationale de Linguistique Française	TL
Travaux de Littérature	TraLit
Travaux du CIEREC (Centre Interdisciplinaire d'Etudes et de Recherches sur l'Expression Contemporaine)	TrCIEREC
Travessia	Travessia
Trimestre	Trimestre
TriQuarterly	TriQ
Tristania: A Journal Devoted to Tristan Studies	Tristania: A Journal Devoted to Tristan Studies
Triveni: Journal of Indian Renaissance	Triveni
Tropelías: Revista de Teoria de la Literatura y Literatura Comparada	Tropelías
Tsing Hua Journal of Chinese Studies	THJCS
Tulimuld: Eesti Kirjanduse ja Kultuuri Ajakiri	Tulimuld
Tulsa Studies in Women's Literature	TSWL
Twayne's English Authors Series	TEAS	
Twayne's United States Authors Series	TUSAS
Twentieth Century Literature: A Scholarly and Critical Journal	TCL
Twórczosc	Tw
Tydskrif vir Geesteswetenskappe	TvG
Tydskrif vir Letterkunde	TvL
Ukrainian Quarterly: Journal of East European and Asian Affairs	UQ
The Ukrainian Review: A Quarterly Journal Devoted to the Study of the Ukraine	UkrR
Ukraïns'ke Literaturoznavstvo: Mizhvidomchyi Respublikans'kyi Zbirnyk	ULz
Ukraïns'ke Movoznavstvo: Mizhvidomchyi Naukovyi Zbirnyk	UkrMov
Ukraïns'kyi Istoryk	UkrI
Ulster Folklife	UF
ULULA: Graduate Studies in Romance Languages	ULULA
Umma: A Magazine of Original Writing	Umma
Unilit	Unilit
Unisa English Studies: Journal of the Department of English	UES
Unitas: A Quarterly for the Arts and Sciences	Unitas
Universitas: Zeitschrift für Wissenschaft, Kunst und Literatur	Univ
University of Dayton Review	UDR
University of Florida Monographs, Humanities Series	UFMH
University of Hartford Studies in Literature: A Journal of Interdisciplinary Criticism	HSL
University of Kansas Humanistic Studies	UKPHS
University of Leeds Review	ULR
University of Mississippi Studies in English	UMSE
University of North Carolina Studies in Comparative Literature	UNCSCL
University of North Carolina Studies in the Germanic Languages and Literatures	UNCSGLL
University of Toronto Quarterly: A Canadian Journal of the Humanities	UTQ
Uomini e Libri: Periodico Bimestrale di Critica ed Informazione Letteraria	UeL
The Upstart Crow	UCrow
Ural-Altaische Jahrbücher/Ural-Altaic Yearbook: Internationale Zeitschrift für Nord-Eurasien	UAJ
Urbe: Rivista Romana di Storia, Arte, Lettere, Costumanze	Urbe
Utah Studies in Literature and Linguistics	USLL
Vagant	Vagant
Vargartha: Critical Quarterly of Indian Literature	Vagartha
Varieties of English Around the World	VEAW
The Velvet Light Trap	VLT
Verbatim: The Language Quarterly	Verbatim
Verdad y Vida: Revista de las Ciencias del Espiritu	VyV
Veröffentlichungen der Abteilung für Slavische Sprachen und Literaturen des Osteuropa-Instituts (Slavisches Seminar) an der Freien Universität Berlin	VOEI
Vestnik Moskovskogo Universiteta. Seriia 9, Filologiia	VMU
Vetenskaps-Societeten i Lund Årsbok	VSLÅ
Vetera Christianorum	VChrist
Viata Româneasca	ViR
Viator: Medieval and Renaissance Studies	Viator
Victorian Literature and Culture	VLC
Victorian Newsletter	VN
Victorian Periodicals Review	VPR
Victorian Poetry	VP
Victorian Studies: A Journal of the Humanities, Arts and Sciences	VS
Vigiliae Christianae: A Review of Early Christian Life and Language	VigC
VIJ: Victorians Institute Journal	VIJ
Vinduet	Vinduet
Virginia Cavalcade	VC
Virginia Quarterly Review: A National Journal of Literature and Discussion	VQR
Virginia Woolf Miscellany	VWM
Virittäjä: Journal de Kotikielen Seura	Vir
Visible Language: The Quarterly Concerned with All That is Involved in Our Being Literate	VLang
Vitchyzna: Literaturno-Khudozhnii ta Hromads'ko-Politychnyi Misiachnyk	Vitchyzna
Vivarium: An International Journal for the Philosophy and Intellectual Life of the Middle Ages and Renaissance	Vivarium
Voix et Images: Littérature Québécoise	V&I
Volkskunde: Driemaandelijks Tijdschrift voor de Studie van het Volksleven	Volkskunde
Voprosy Iazykoznaniia (Moscow)	VJa
Voprosy Literatury	VLit
Vox Romanica: Annales Helvetici Explorandis Linguis Romanicis Destinati	VR
Vsesvit: Zhurnal Inozemnoï Literatury. Literaturno-Mystets'kyi ta Hromads'ko-Politychnyi Misiachnyk. Orhan Spilky Pys'mennykiv Ukraïny, Ukraïns'koho Tovarystva Druzhby i Kul'turnykh Zv'iazkiv z Zarubizhnymy Kraïnamy, Ukraïns'koï Rady Myru	Vsesvit
Vuelta	Vuelta
[vwa]	vwa
Vyzvol'nyi Shliakh/Liberation Path	VyzSh
Waiguoyu	Waiguoyu
The Wallace Stevens Journal: A Publication of the Wallace Stevens Society	WSJour
Walt Whitman Quarterly Review	WWQR
Wascana Review	WascanaR
Weber Studies: An Interdisciplinary Humanities Journal	WStu
Weimarer Beiträge: Zeitschrift für Literaturwissenschaft, Ästhetik und Kulturwissenschaften	WB
West Georgia College Review	WGCR
Westerly: A Quarterly Review	Westerly
Western American Literature	WAL
Western Folklore	WF
Western Humanities Review	WHR
Western Writers Series	WWS
Wetenschappelijke Tijdingen op het Gebied van de Geschiedenis van de Vlaamse Beweging	WT
The Wicazo SA Review: A Journal of Indian Studies	WSaR
Wide Angle: A Film Quarterly of Theory, Criticism, and Practice	WAn
Wiener Arbeiten zur Deutschen Literatur	WADL
Wiener Beiträge zur Englischen Philologie	WBEP
Wiener Slavistisches Jahrbuch	WSJ
Wiener Zeitschrift für die Kunde Südasiens und Archiv für Indische Philosophie	WZKS
Willa Cather Pioneer Memorial Newsletter	WCPMN
The William and Mary Quarterly: A Magazine of Early American History and Culture	WMQ
William Carlos Williams Review	WCWR
Winterthur Portfolio: A Journal of American Material Culture	WPo
Wirkendes Wort: Deutsche Sprache und Literatur in Forschung und Lehre	WWort
Wissenschaftliche Zeitschrift der Humbolt-Universität zu Berlin. Gesellschaftswissenschaftliche Reihe	WZUB
Wissenschaftliche Zeitschrift der Martin-Luther Universität Halle-Wittenberg. Gesellschafts- und Sprachwissenschaftliche Reihe	WZUH
Wissenschaftliche Zeitschrift der Wilhelm-Pieck-Universität Rostock. Gesellschaftswissenschaftliche Reihe	WZUR
Wolfenbütteler Barock-Nachrichten	WBN
Wolfenbütteler Beiträge: Aus den Schätzen der Herzog August Bibliothek	WolfenbüttelerB
Wolfenbütteler Studien zur Aufklärung	WSA
Women and Language	W&Lang
Women in German Yearbook: Feminist Studies in German Literature and Culture	WGY
Women & Performance: A Journal of Feminist Theory	W&P
Women's Studies: An Interdisciplinary Journal	WS
Word & Image: A Journal of Verbal/Visual Enquiry	W&I
WORD: Journal of the International Linguistic Association	Word
Word Ways: The Journal of Recreational Linguistics	WWays
The Wordsworth Circle	WC
Working Papers in Linguistics	WPL
Works and Days: Essays in the Socio-Historical Dimensions of Literature and the Arts	W&D
World Literature Today: A Literary Quarterly of the University of Oklahoma	WLT
World Literature Written in English	WLWE
Xavier Review	XUS
Y Traethodydd	Y Traethodydd
Yale French Studies	YFS
The Yale Journal of Criticism: Interpretation in the Humanities	YJC
Yale Journal of Law & the Humanities	YJLH
The Yale Review	YR
Yale University Library Gazette	YULG
Year's Work in English Studies	YWES
The Year's Work in Modern Language Studies	YWMLS
Yearbook for Traditional Music	YTM
Yearbook of Comparative and General Literature	YCGL
Yearbook of English Studies	YES
Yearbook of Italian Studies	YIS
The Yearbook of Langland Studies	YLS
Yeates Eliot Review: A Journal of Criticism and Scholarship	YER
Yeats: An Annual of Critical and Textual Studies	Yeats
Yeats Annual	YeA
Yiddish	Yiddish
Yiddishe Kultur	YK
Z Dziejów Form Artystycznych W Literaturze Polskiej	ZDFALP
Z: Filmtidsskrift	Z
Zadarska Revija: Casopis za Kulturu i Drustvena Pitanja	ZR
Zagadnienia Rodzajów Literackich: Woprosy Literaturnych Zanrov/Les Problèmes des Genres Littéraires	ZRL
Zeitschrift für Anglistik und Amerikanistik	ZAA
Zeitschrift für Deutsche Philologie	ZDP
Zeitschrift für Deutsches Altertum und Deutsche Literatur	ZDA
Zeitschrift für Dialektologie und Linguistik	ZDL
Zeitschrift für Französische Sprache und Literatur	ZFSL
Zeitschrift für Germanistik	ZG
Zeitschrift für Germanistische Linguistik	ZGL
Zeitschrift für Katalanistik: Revista d'Estudis Catalans	ZfK
Zeitschrift für Ostforschung: Länder und Völker im Östlichen Mitteleuropa	ZOF
Zeitschrift für Romanische Philologie	ZRP
Zeitschrift für Slawistik	ZS
Zeitschrift für Volkskunde: Halbjahreschrift der Deutschen Ges. f. Volkskunde	ZV
Zeszyty Literackie	ZL
Zeta: Rivista Internazionale di Poesia	Zeta
Zielsprache Deutsch: Zeitschrift für Unterrichtsmethodik und Angewandte Sprachwissenschaft	ZD
Ziva Antika	ZA
Zivot: Casopis za Knjizevnost i Kulturu	Zivot
Znamenje	
Zvezda	

