AAS Photo Bulletin	AASPB
Journal of Physics C Solid State Physics	JPhC
Journal of Physics Conference Series	JPC
Journal of Physics Conference Series	JPhCS
Journal of Physics D Applied Physics	JPhD
Journal of Physics E Scientific Instruments	JPhE
Journal of Physics F Metal Physics	JPhF
Journal of Physics G Nuclear Physics	JPhG
Journal of Physics G Nuclear Physics Supplement	JPhGS
Journal of Physics of the Earth	JPE
Journal of Physics Teacher Education Online	JPTEO
Journal of Physiology	JPhsg
Journal of Plasma Physics	JPlPh
Journal of Polymer Science A Polymer Physics	JPoSA
Journal of Polymer Science B Polymer Letters	JPoSB
Journal of Porous Materials	JPMat
Journal of Power Sources	JPS
Journal of Practical Applications in Space	JPAS
Journal of Propulsion Power	JPP
Journal of Propulsion Technology	JPT
Journal of Protein Chemistry	JPrCh
Journal of Pure Applied Sciences	JPApS
Journal of Quality Technology	JQT
Journal of Quantitative Spectroscopy and Radiative Transfer	JQSRT
Journal of Quaternary Science	JQS
Journal of Radioanalytical and Nuclear Chemistry	JRNC
Journal of Radioanalytical Chemistry	JRAC
Journal of Radiological Protection	JRP
Journal of Raman Spectroscopy	JRSp
Journal of Reinforced Plastics and Composites	JRPC
Journal of Research	JRes
Journal of Research in Science Teaching	JRScT
Journal of Research of the National Bureau of Standards	JRNBS
Journal of Research on Technology in Education	JRTEd
Journal of Research Section B Mathematical Sciences B	JResB
Journal of Rheology	JRheo
Journal of Robotic Systems	JRoS
Journal of Russian Laser Research	JRLR
Journal of Science Education and Technology	JSEdT
Journal of Science Teacher Education	JSTEd
Journal of Scientific Computing	JSCom
Journal of Scientific Instruments	JScI
Journal of Scientific Instruments and of Physics in Industry	JSIPI
Journal of Sea Research	JSR
Journal of Seismology	JSeis
Journal of Series Geophysics	JSGeo
Journal of Ship Research	JShR
Journal of Sol-Gel Science and Technology	JSGST
Journal of Solid State Chemistry France	JSSCh
Journal of Solution Chemistry	JSCh
Journal of Sound Vibration	JSV
Journal of South American Earth Sciences	JSAES
Journal of Soviet Laser Research	JSLR
Journal of Space Astronomy Research	JSAR
Journal of Spacecraft and Rockets	JSpRo
Journal of Spacecraft Technology	JSpT
Journal of Statistical Computation and Simulation	JSCS
Journal of Statistical Mechanics: Theory and Experiment	JSMTE
Journal of Statistical Physics	JSP
Journal of Strain Analysis and Engineering Design	JStA
Journal of Strain Analysis for Engineering Design	JSAED
Journal of Structural Geology	JSG
Journal of Structural Mechanics	JSM
Journal of Superconductivity	JSup
Journal of Symbolic Computation	JSymC
Journal of Technical Physics	JTePh
Journal of Technology	JTech
Journal of Testing Evaluation	JTeEv
Journal of Theoretical Biology	JTBio
Journal of Thermal Analysis and Calorimetry	JTAC
Journal of Thermal Spray Technology	JTST
Journal of Thermal Stresses	JThSt
Journal of Thermophysics and Heat Transfer	JTHT
Journal of Thermoplastic Composite Materials	JThCM
Journal of Turbulence	JTurb
Journal of Vacuum Science Technology	JVST
Journal of Vibration and Control	JVC
Journal of Vibration Engineering	JVE
Journal of Visual Communication and Image Representation	JVCIR
Journal of Volcanology and Geothermal Research	JVGR
Journal of Women and Minorities in Science and Engineering	JWMSE
Journal of X-Ray Science and Technology	JXST
JPRS Report Science Technology USSR Space	RpScT
JSME Bulletin	JSMEB
JSME International Journal	JSMEJ
JSME Transactions	JSMET
Kagaku Kogaku Ronbunshu	KKR
Kakioka Magnetic Observatory Memoirs	MmKMO
Kapteyn Astronomical Laboratory Groningen Reports	GroR
Kazan Izdatel Kazanskogo Universiteta	KIzKU
Kenneth Mees Observatory Reprints	MeeRe
Kernforschungsanlage Rept Res Results Solid State Nucl Phys	KernR
Kexue Tongbao	KexT
Kharkov Izdanie IRE AN USSR	KharI
Khimiia i Tekhnologiia Topliv i Masel	KTTM
Khimiia Plazmy	KhPl
Kibernetika i Vychislitel naia Tekhnika	KVnT
Kiev Institut Fiziki AN USSR	KiInF
Kiev Institut Matematiki AN USSR	KiInM
Kiev Institut Problem Modelirovaniia Energetike AN USSR	KIPME
Kiev Izdanie Instituta Matematiki AN USSR	KIzIM
Kiev Izdatel Naukova Dumka	KiIND
Kiev Izdatel Tekhnika	KiIzT
Kiev Izdatel Vishcha Shkola	KIzVS
Kievskij Ordena Lenina Gosudarstvennyj Universitet Shevchenko Astronomicheskaya Observatoriya - Preprint	KiePr
Kinematika i Fizika Nebesnykh Tel	KFNT
Kinematika i Fizika Nebesnykh Tel Supplement	KFNTS
Kinetics and Catalysis	KiCat
Kishinev Izdatel Shtiintsa	KIzS
Kleine Veroeffentlichungen der Universitaetssternwarte zu Berlin Babelsberg	KVeBB
Kleinheubacher Berichte	KlBer
Kodaikanal Observatory Bulletins	KodOB
Kodaikanal Observatory Reprints	KodRe
Komety i Meteory	KomMe
Koninklijke Nederlandse Akademie van Weteschappen Proceedings Series B Physical Sciences	KNAB
Korean Institute of Metals and Materials Journal	KIMMJ
Kosmicheskaia Nauka i Tekhnika	KosNT
Kosmicheskie Issledovaniia	KosIs
Kosmicheskie Issledovaniia Ukraine	KosIU
Kosmicheskie Luchi	KosLu
Kozmos	Kozmo
K-Theory	KT
Kungl. Svenska Vetenskapsakademiens Handlingar	KSVH
Kvantovaia Elektronika Moscow	KvanE
Kybernetes	Kyb
Kyoto University Faculty Engineering Memoirs	KyoMe
Kyushu Institute Technology Bulletin	KyITB
Kyushu University Faculty Engineering Memoirs	KUFEM
Kyushu University Research Institute Applied Mechanics Reports	KyUAM
Kyushu University Research Institute Industrial Science Reports	KyUSR
Kyushu University Technology Reports	KyUTR
Lab on a Chip	LChip
L'Aeronautique et L'Astronautique	AerAs
L'Aerotecnica Missili e Spazio	AerMS
Land Degradation & Development	LDD
Lapidary Journal	LaJ
Laser and Particle Beams	LPB
Laser Elektro Optik	LaEO
Laser Focus	LaFoc
Laser Journal	LasJ
Laser Particle Beams	LaPaB
Laser Physics	LaPhy
L'Astrofilo Bolletino Trimestral del Gruppo Astrofili Villaggio Sereno Brescia	Astrf
L'Astronomie	LAstr
Latviiskii Matematicheskii Ezhegodnik	LatME
Laws Observatory Bulletin, University of Missouri	LawOB
LBL Research Review	LBLRR
Leaflet of the Astronical Society of the Pacific	ASPL
Leaflet of the Astronical Society of the Pacific (Supplement)	ASPLS
L'Echo des Recherches	LERec
Lecture Notes and Supplements in Physics	LNSP
Lecture Notes in Earth Sciences, Berlin Springer Verlag	LNES
Lecture Notes in Engineering, Berlin Springer Verlag	LNEn
Lecture Notes in Mathematics, Berlin Springer Verlag	LNM
Lecture Notes in Physics, Berlin Springer Verlag	LNP
Lecture Notes in Pure and Applied Mathematics	LNPAM
Leningrad Biblioteka Akademii Nauk SSSR	LeBAN
Leningrad Energoizdat	LeEne
Leningrad Gidrometeoizdat	LeGid
Leningrad Gidrometeoizdat Sovremennye Problemy Atmosfernoi Optiki	PrAtO
Leningrad Izdatel Energiia	LeIzE
Leningrad Izdatel Gidrometeoizdat	LeIzG
Leningrad Izdatel Khimiia	LeIzK
Leningrad Izdatel Leningradskogo Universiteta	LeIzU
Leningrad Izdatel Mashinostroenie	LeIzM
Leningrad Izdatel Nauka	LeIzN
Leningrad Izdatel Nedra	LIzNe
Leningrad Izdatel Sudostroenie	LeIzS
Leningrad, Izdatel'stvo Nauka	IzLen
Leningrad Lenizdat	LeLen
Leningradskii Gosudarstvennyi Universitet Problemy Matematicheskoi Fiziki	LGUPM
Leningradskii Universitet Vestnik Matematika Mekhanika Astronomiia	VeLen
Leonardo	Leo
Letters Heat Mass Transfer	LHMT
Letters in Applied and Engineering Sciences	LAES
Letters in Mathematical Physics	LMaPh
Lick Observatory Bulletin	LicOB
Lietuvos Fizikos Rinkinys	LFR
Lifetime Data Analysis	LDA
Lincoln Laboratory Journal	LLabJ
Liquid Crystals	LiCr
Lithos	Litho
Living Reviews in Relativity	LRR
Living Reviews in Solar Physics	LRSP
Lockheed Horizons	LockH
L'Onde Electrique	LOEle
Low Temperature Physics	LTP
Lowell Observatory Bulletin	LowOB
LPI Contributions	LPICo
Lubrication Engineering	LubEn
Luft und Raumfahrt	LR
Luft und Raumfahrt Quarter	LuRaQ
Luxembourg Commission European Communities	LCEC
Lvov Izdatel Vishcha Shkola	LIVS
L'vovskij Ordena Lenina Gosudarstvennyj Universitet Tsirkulyar	LvoTs
Machine Design	MaDes
Machine Learning	MLear
Macromolecular Chemistry and Physics	MmCP
Madras Observatory Astronomical Observations	MadOO
Madras Observatory Observations	MadOb
Magnetic Fusion Energy	MagFE
Magnetic Resonance Materials in Physics Biology and Medicine	MRMPB
Magnitnaia Gidrodinamika	MagGi
Magnitosfernye Issledovaniia	MagIs
Magyar Tudomanyos Akademia Csillagvizsgalo Intezetenek koezlemenyei	MTACI
Mannheim West Germany Bibliographisches Institut AG	MWGBI
ManTech Journal	MaTeJ
Manuscripta Geodaetica	ManGe
Marconi Review Quarter	MarRQ
Marine Geodesy	MarGe
Marine Geophysical Researches	MarGR
Marine Petroleum Geology	MarPG
Mashinostroenie	Mashi
Masters Thesis	MsT
Matematicheskaia Fizika	MaFiz
Matematicheskaia Fizika i Nelineinaia Mekhanika	MFiNM
Matematicheskie Issledovaniia	MatIs
Matematicheskie Metody i Fiziko Mekhanicheskie Polia	MMFMP
Matematicheskii Institut imeni Steklova Trudy	MISTr
Matematicheskoe Modelirovanie i Teoriia Elektricheskikh Tsepei	MMTET
Matematichki Vesnik	MatVe
Materialpruefung	Mater
Materials and Manufacturing Processes	MMP
Materials Chemistry and Physics	MCP
Materials Evaluation	MatEv
Materials Letters	MatL
Materials Research Bulletin	MaRBu
Materials Science and Engineering	MSEng
Materials Science and Technology	MSTec
Materials Science Forum	MSF
Materials Science Technology	MatST
Materials Transactions JIM	MatTr
Materiaux et Techniques	MatTe
Mathematical and Computer Modelling	MComM
Mathematical Engineering Industry	MEI
Mathematical Finance	MaFi
Mathematical Geology	MatG
Mathematical Methods in the Applied Sciences	MMAS
Mathematical Modelling	MatM
Mathematical Modelling Numerical Analysis	MMNA
Mathematical Models and Methods in Applied Sciences	M3AS
Mathematical Physics, Analysis and Geometry	MPAG
Mathematical Physics and Applied Mathematics	MPAM
Mathematical Physics Studies	MaPhS
Mathematical Proceedings	MaPr
Mathematical Proceedings of the Cambridge Philosophical Society	MPCPS
Mathematics and Mechanics of Solids	MMS
Mathematics of Computation	MaCom
Mathematika	Mat
Max Planck Institut Aeronomie Mitteilungen	MitAe
Measurement Science and Technology	MeScT
Measurements	Meas
Meccanica	Mecc
Mechanical Engineering	MecEn
Mechanical Systems and Signal Processing	MSSP
Mechanics and Physics of Discrete Systems	MPDS
Mechanics of Composite Materials & Structures	MCMS
Mechanics of Structures and Machines	MSM
Mechanics of Time-Dependent Materials	MTDM
Mechanics Research Communications	MeReC
Mechanika Teoretyczna i Stosowana	MeTeS
Mechanism and Machine Theory	MeMaT
Meddelanden fran Astronomiska Observatorium Uppsala	MeUpp
Meddelanden fran Lunds Astronomiska Observatorium Serie I	MeLu1
Meddelanden fran Lunds Astronomiska Observatorium Serie II	MeLu2
Meddelser fra Ole Romer Observatoriet Aarhus	MeAar
Mededelingen Universiteit te Gent Sterrenkundig Instituut	MeGen
Mededelingen van het Astronomisch Instituut van de Katholieke Universiteit Leuven	MeLeu
Medical Physics	MedPh
Mekhanika Giroskopicheskikh Sistem	MekGS
Mekhanika Kompozitnykh Materialov	MekKM
Mekhanika Polimerov	MekP
Mekhanika Tverdogo Tela	MekTT
Melbourne Observatory Annual Report	MelAR
Melbourne Observatory Observations	MelOO
Memoires de l'Observatoire de l'Ebre	MmEbr
Memoires of the Academie Royale de Belgique	MmARB
Memoires of the Mount Stromlo Observervatory	MmMtS
Memoires of the Societe Royale des Sciences de Liege	MSRSL
Memoires Scientifiques de la Revue de Metallurgie	MeSRM
Memoirs College of Sciences University of Kyoto	MmKyo
Memoirs of the Astronomical Society of India	MmASI
Memoirs of the British Astronomical Association	MmBAA
Memoirs of the Faculty of Science, Kyoto University: Series of Physics, Astrophysics, Geophysics and Chemistry	MFKSU
Memoirs of the Royal Astronomical Society	MmRAS
Memorie del R. Osservatorio di Capodimonte in Napoli	MmNap
Memorie della Societa Astronomica Italiana	MmSAI
Memorie della Societa Astronomica Italiana Supplement	MSAIS
Mendeleev Communications	MeCom
Mercury	Mercu
Meres es Automatika	MeAut
The Messenger	Msngr
Mesures Regulation Automatisme	MeRAu
Metallofizika	Metal
Metallovedenie i Termicheskaia Obrabotka Metallov	MTObM
Metallurgical and Materials Transactions A	MMTA
Metallurgical Transactions Physical Metallurgy Materials Science	MTPMM
Meteor Forschungsergebnisse Reihe B Meteorologie und Aeronomie	MTRMA
Meteorite - The International Quarterly of Meteorites and Meteorite Science	Met
Meteorites	Metit
Meteoritics	Metic
Meteoritics and Planetary Science	M&PS
Meteoritika	Metik
Meteornoe Rasprostranenie Radiovoln	MetRR
Meteornye Issledovaniia	MetIs
Meteorological Applications	MeApp
Meteorological Magazine	MetMa
Meteorological Satellite Center Technical Note	MSCTN
Meteorological Society of Japan Journal	MeSJJ
Meteorologicke Zpravy	MetZp
La Meteorologie	Meteo
Meteorologiia i Gidrologiia	MeGid
Meteorologische Rundschau	MetRu
Meteorologische Zeitschrift	MetZe
Meteorology and Atmospheric Physics	MAP
Meteorology Atmospheric Physics	MetAP
Meteorology Hydrology JPRS	MetHy
Methoden und Verfahren der Mathematischen Physik	MVMP
Methods: A Companion to Methods in Enzymology	MCME
Methods in Computational Physics	MComP
Methods in Geochemistry and Geophysics	MGG
Methods in Subnuclear Physics	MSB
Methods of Experimental Physics	MExP
Metody Vychislenii	MetVy
Metrologia	Metro
Microbial Ecology	MicEc
Microdevices: Physics and Fabrication Technologies	MPFD
Microelectronic Engineering	MiEng
Microelectronics International	MiI
Microelectronics Reliability	MiRe
Microgravity Quarterly	MicgQ
Microgravity Science and Technology	MiST
Microscale Thermophysical Engineering	MTEng
Microscopy and Microanalysis	MiMic
Microwave and Optical Technology Letters	MiOTL
Microwave Journal	MiJo
Microwaves	MicWa
Mikrochimica Acta	AcMik
Mikroelektronika	Mikro
Mikroelektronika Sbornik	MikSb
Milan Associazione Italiana di Meccanica Teorica ed Applicata	MAIMT
Milano Seminario Matematico e Fisico Rendiconti	MSMFR
Military Electronics Countermeasures	MiElC
Mind and Language	MiLa
Mineral Physics	MinPh
Mineralium Deposita	MinDe
Mineralogical Magazine	MinM
Mineralogy and Petrology	MinPe
Minor Planet Bulletin	MPBu
Minor Planet Circulars	MPC
Minor Planet Electronic Circulars	MPEC
Minsk Izdatel BGU	IzMin
Minsk Izdatel Nauka i Tekhnika	MiINT
Missiles Spacecraft	MisSp
Mission Analysis Program Solar Electric Propulsion MAPSEP	MAPSE
Mitsubishi Heavy Industries Technical Review	MHITR
Mitteilungen der Astronomischen Gesellschaft Hamburg	MitAG
Mitteilungen der Astronomischen Institute der Universitaet Bonn	MiBon
Mitteilungen der Astronomisch-Meteorologischen Anstalt der Universitaet Basel Astronomische Reihe	MiBas
Mitteilungen der Bruno-H.-Buergel-Sternwarte Hartha DDR	MiHar
Mitteilungen der Hamburger Sternwarte in Bergedorf	MiHam
Mitteilungen der Konkoly Sternwarte Budapest-Szabadsaghegy	MiKon
Mitteilungen der Nikolai-Hauptsternwarte zu Pulkowo	MiPul
Mitteilungen der Sternwarte der Ungarischen Akademie der Wissenschaften Budapest	MiBud
Mitteilungen der Sternwarte Innsbruck	MiInn
Mitteilungen der Sternwarte Munchen	MiMun
Mitteilungen der Sternwarte zu Sonneberg	MiSon
Mitteilungen der Universitaets-Sternwarte Graz	MiGra
Mitteilungen der Universitaets-Sternwarte Wien	MiWie
Mitteilungen der Universitaets-Sternwarte zu Jena	MiJen
Mitteilungen des Astronomischen Instituts der Universitaet Tuebingen	MiTue
Mitteilungen des Astronomischen Instituts des Universitaet Munster	MiMue
Mitteilungen des Astrophysikalischen Observatoriums Potsdam	MiPot
Modelling Simul. Mater. Sci. Eng.	MSMSE
Modern Approaches in Geophysics	MAG
Modern Geology	ModGe
Modern Instrumentation and Measurements in Physics and Engineering	MIMPE
Modern Physics Letters A	MPLA
Modern Physics Letters B	MPLB
Moldavian Journal of the Physical Sciences	MJPS
Molecular Biology and Biophysics	MBB
Molecular Biology Biochemistry and Biophysics	MBBB
Molecular Crystals and Liquid Crystals	MCLC
Molecular Genetics and Metabolism	MGM
Molecular Physics	MolPh
Molecular Physics Reports	MoPhR
Molecular Simulation	MoSim
Monthly Notes of the Astronomical Society of South Africa	MNSSA
Monthly notes of the Astronomical Society of South Africa	MNSSJ
Monthly Notices of the Royal Astronomical Society	MNRAS
Monthly Weather Review	MWRv
Moon	Moon
Moon and Planets	M&P
Morskie Gidrofizicheskie Issledovaniia	MorGI
Moscow Atomizdat	MAtom
Moscow Energoatomizdat Biblioteka Automatike	MoEBA
Moscow Energoizdat	MEner
Moscow Gidrometeoizdat	MoGid
Moscow Institut Kosmicheskikh Issledovanii AN SSSR	MoIKI
Moscow Institut Prikladnoi Matematiki AN SSSR	MoIPM
Moscow Izdatel Atomizdat	MoIzA
Moscow Izdatel Energiia	MoIzE
Moscow Izdatel Energiia Biblioteka Avtomatike	MIEBA
Moscow Izdatel Energiia Biblioteka Radioelektronike	MIEBR
Moscow Izdatel Khimiia	MoIzK
Moscow Izdatel Legkaia Industriia	MIzLI
Moscow Izdatel Mashinostroenie	MIzMa
Moscow Izdatel Metallurgiia	MIzMe
Moscow Izdatel Moskovskogo Universiteta	MoIzM
Moscow Izdatel Moskovskogo Universiteta Pt	MIzMU
Moscow Izdatel Nauka	MoIzN
Moscow Izdatel Nauka AN SSR Fizicheskii Institut Trudy	MINFI
Moscow Izdatel Nauka AN SSSR Chteniia imeni Vernadskogo	MINCV
Moscow Izdatel Nauka AN SSSR Fizicheskii Institut Trudy	MoINA
Moscow Izdatel Nauka AN SSSR Geologicheskoi Institut Trudy	MINGI
Moscow Izdatel Nauka AN SSSR Matematicheskii Institut Trudy	MINMI
Moscow Izdatel Nauka Issledovaniia Geomagnetizmu Aeronomii i Fizike Solntsa	MoINI
Moscow Izdatel Nauka Teoreticheskaia Fizika	MINTF
Moscow Izdatel Nauka Vychislitel naia Seismologiia	MINVS
Moscow Izdatel Nedra	MIzNe
Moscow Izdatel Radio Sviaz	MIzRS
Moscow Izdatel Sovetskoe Radio	MIzSR
Moscow Izdatel Sovetskoe Radio Ionosfernye Issledovaniia	MISRI
Moscow Izdatel Sviaz	MoIzS
Moscow Izdatel Sviaz Statisticheskaia Teoriia sviazi	MISST
Moscow Izdatel Transport	MoIzT
Moscow Izdatel VINITI	MoIzV
Moscow Izdatel Vysshaia Shkola	MIzVS
Moscow Izdatel Znanie	MoIzZ
Moscow Izdatel Znanie Novoe Zhizni Nauke Tekhnike Seriia Fizika	MIZNZ
Moscow IZMIRAN	MosIZ
Moscow Mezhdunarodnyi Tsentr Nauchnoi i Tekhnicheskoi Informatsii	MoMTN
Moscow Mezhduvedomstvennyi Geofizicheskii Komitet	MoMGK
Moscow VINITI	MoVIN
Moscow Voenizdat	MosVo
Moscow Voennoe Izdatel	MosVI
Moscow Vychislitel nyi Tsentr AN SSSR	MoVNT
Moscow Vysshaia Shkola	MoVyS
Moshchnye lazery i lazernaia plazma	MoLLP
Moskovskii Energeticheskii Institut Trudy	MoEIT
Moskovskii Gosudarstvennyi Universitet Institut Mekhaniki Nauchnye Trudy	MGUMN
Moskovskii Gosudarstvennyi Universitet Institut Mekhaniki Otchet	MGIMO
Moskovskii Universitet Vestnik Seriia Fizika Astronomiia	MVSFA
Moskovskii Universitet Vestnik Seriia Khimiia	MUVSK
Moskovskii Universitet Vestnik Seriia Matematika Mekhanika	MVSMM
Moskovskij Gosudarstvennyj Tekhnicheskij Universitet Vestnik Seriya Mashinostroenie	MGTVM
Moskovskij Gosudarstvennyj Tekhnicheskij Universitet Vestnik Seriya Priborostroenie	MGTVP
Motortechnische Zeitschrift	MotZe
Mount Stromlo Observatory Mimeographs	MtSOM
Mount Stromlo Observatory Reprints	MtSRe
Mount Wilson and Palomar Observatory Annual Report	MtWAR
Mount Wilson and Palomar Observatory Reprints	MtWRe
Mount Wilson Observatory Annual Report	MWOAR
MRS Bulletin	MRSBu
Muenchen Universitaets Schriften Serie	MUSS
Munich R Oldenbourg Verlag GmbH	MROVG
Nabliudeniia Iskusstvennykh Sputnikov Zemli	NISZ
Nachrichten Elektronik	NacEl
Nachrichtenblatt der Astronomischen Zentralstelle Heidelberg	NAZ
Nachrichtenblatt der Vereinigung der Sternfreunde	NVS
Nachrichtentechnische Gesellschaft Fachtagung ueber Antennen	NGFAW
Nachrichtentechnische Zeitschrift	NacZe
Nagoya University Faculty Engineering Memoirs	NUFEM
Nagoya University School Engineering Memoirs	NUSEM
Nanjing Aeronautical Institute Journal	NaAIJ
Nanjing University Aeronautics and Astronautics Journal	NUAAJ
Nanotechnology	Nanot
Napoli Istituto Universitario Navale Annali	NIUNA
NASA Circular Letter	NASAL
NASA Conference Publication	NASAC
NASA Reference Publication	NASAR
NASA Special Publication	NASAS
NASA STI/Recon Technical Report A	STIA
NASA STI/Recon Technical Report N	STIN
National Bureau of Standards Special Publication	NBSSP
National Bureau of Standards Technical Note	NBSTN
National Geographic	NaGe
National Institute of Standards and Technology Journal of Research	NISTJ
National Institute Polar Research Memoirs	PolRe
National Observatory of Athens Greece Bulletin of the Astronomical Institute	BAth
National Radio Astronomy Observatory Reprints	NRAOR
National University Defense Technology Journal	NUDTJ
Natural Hazards and Earth System Sciences	NHESS
Natural History	NatH
Nature	Natur
Nature Physical Science	NPhS
Nature Physics	NatPh
Naturwissenschaften	NW
Nauchnye Informatsii	NInfo
Naval Research Reviews	NRRv
Navigation	Navig
Navigation Australia	NavAu
Navigation Paris	NavPa
Nederlandse Vereiniging voor Weer en Sterrenkunde Werkgroep veranderlijke Sterren Reports	NVVSR
Network: Computation in Neural Systems	NCNS
Networks and Spatial Economics	NSpEc
Neue Annalen der Koeniglichen Sternwarte in Bogenhausen bei Muenchen	AnBog
Neues Jahrbuch Mineralogie Monatshefte	NJMM
Neural Computation	NeCom
Neural Networks	NN
The Neuroscientist	Neuro
Neutron Physics and Nuclear Data in Science and Technology	NPNDS
New Astronomy	NewA
New Astronomy Review	NewAR
New Journal of Chemistry	NJCh
New Journal of Physics	NJPh
New Scientist	NewSc
New Technology News	NTN
New York Academy Sciences Annals	NYASA
New Zealand Journal Geology and Geophysics	NZJGG
New Zealand Journal of Science	NZJS
News Letter of the Astronomical Society of New York	ASNYN
Nizamiah JAPAL Rangapur Observatories Hyderabad India Contributions	NOHIC
Nizamiah Observatory Reprints	NizRe
Noise Control Engineering Journal	NCE
Nondestructive Testing and Evaluation	NDTE
Nondestructive Testing Communications	NTCo
Nonequilibrium Problems in the Physical Sciences and Biology	NPPSB
Nonlinear Analysis Theory Methods Applications	NATMA
Nonlinear Optics	NlOpt
Nonlinear Processes in Geophysics	NPGeo
Nonlinearity	Nonli
Nordisk Astronomisk Tidsskrift	NATi
North Holland Series Applied Mathematics Mechanics	SApMM
North Hollywood Calif Western Periodicals Co	NHCWP
Northwestern Polytechnical University Journal	NPUJ
Not Defined	NoDef
Nouvelle Revue d'Aeronautique et d'Astronautique	NRA&A
Nouvelle Revue d'Optique	NROpt
Nouvelle Revue d'Optique Appliquee	NROA
Nova Acta Regiae Soc. Sci. Upsaliensis Ser. V	UGC
Novosibirsk Institut Geologii i Geofiziki SO AN SSSR	NoIGG
Novosibirsk Institut Gidrodinamiki SO AN SSSR Dinamika Sploshnoi Sredy	NovIG
Novosibirsk Izdatel Nauka	NoIzN
NTT Review	NTTRv
Nuclear Data Sheets	NDS
Nuclear Engineering and Design	NuEnD
Nuclear Fusion	NucFu
Nuclear Fusion Special Supplement	NucFS
Nuclear Geophysics	NuGeo
Nuclear Instruments and Methods	NucIM
Nuclear Instruments and Methods in Physics Research A	NIMPA
Nuclear Instruments and Methods in Physics Research	NIMPR
Nuclear Instruments and Methods in Physics Research B	NIMPB
Nuclear Physics	NucPh
Nuclear Physics A	NuPhA
Nuclear Physics B	NuPhB
Nuclear Physics B Proceedings Supplements	NuPhS
Nuclear Science Engineering	NSE
Nuclear Technology	NucTe
Nuclear Technology Fusion	NucTF
Nucleic Acids Research	NAR
Numerical Algorithms	NuAlg
Numerical Functional Analysis and Optimization	NFAO
Numerical Heat Transfer	NumHT
Numerical Heat Transfer Part A - Applications	NHTA
Numerical Heat Transfer Part B - Fundamentals	NHTB
Numerische Mathematik	NuMat
Nuovo Cimento A Serie	NCimA
Nuovo Cimento B Serie	NCimB
Nuovo Cimento C Geophysics Space Physics C	NCimC
Nuovo Cimento D Serie	NCimD
Nuovo Cimento Lettere	NCimL
Nuovo Cimento Rivista Serie	NCimR
Nuovo Cimento Serie	NCimS
Observation of Variable Stars	OVS
Observation pi	Obser
Observations astronomiques faites a l'Observatoire royal de Paris	OAORP
Observations made at the U.S. Naval Observatory	USNOO
Observations made at the U.S. Naval Observatory during the Year	USNOY
Observations Owens Valley Radio Observatory	OOVRO
Observatoire de Besancon	Bes1K
Observatoire de Besancon - CNES	OBN1K
Observatoire de Geneve	Gen1K
Observatoire de Lyon Reprints	LyoRe
Observatoire de Meudon	Meu1K
Observatoire de Nice	Nic1K
Observatoire Royal de Belgique Communications Serie B	CORB
Observatorio Astronomico de La Plata Circular	LPlaC
Observatorio Astronomico de La Plata Separata Astronomica	LPlaS
Observatorio Astronomico Municipal de Rosario Argentia  Boletin	RosOB
Observatorio Nacional Publicacoes do Servico Astronomico Rio de Janeiro	RioB
The Observatory	Obs
Observatory and Astrophysics Laboratory University of Helsinki Report	HelR
Observatory Astronomical La Plata Series Astronomies	PLPla
Obzory Vysokotemperaturnoi Sverkhprovodimosti	ObVyS
Occasional Notes of the Royal Astronomical Society	ONRAS
Occasional Reports of the Royal Observatory Edinburgh	ORROE
Ocean Dynamics	OcDyn
Ocean Engineering	OcEng
Ocean Modelling	OcMod
Ocean Physics and Engineering	OcPhE
Ocean Science	OcSci
Ocean Science Discussions	OcSciD
Oceanographical Society of Japan Journal	OSJaJ
Oceanologica Acta	AcOC
Oceanus Summer	Ocean
Odessa Astronomical Publications	OAP
Odesskij Gosudarstvennyi Universitet im. I. I. Mechnikova Byulletin Astronomicheskoj Observatorii	BOOde
Odesskij Gosudarstvennyi Universitet im. I. I. Mechnikova Izvestiya Astronomicheskoj Observatorii	IzOde
Oesterreichische Akademie Wissenschaften Mathematisch naturwissenschaftliche Klasse Sitzungsberichte Abteilung	OAWMN
Oikos	Oikos
Okeanologiia	Okean
Ondrejov Czechoslovakia Czechoslovak Academy Sciences CAS Astronomical Institute Publications	OCzAS
ONERA TP	ONERA
Open European Journal on Variable Stars	OEJV
Open Learning	OLear
Open Systems and Information Dynamics	OSID
Optica Acta	AcOpt
Optical and Quantum Electronics	OQE
Optical Engineering	OptEn
Optical Fiber Technology	OptFT
Optical Materials	OptMa
Optical Physics and Engineering	OptPE
Optical Quantum Electronics	OptQE
Optical Review	OptRv
Optical Sciences Center Newsletter	OpSCN
Optical Society of America Journal A	OSAJ
Optical Society of America Journal B Optical Physics	OSAJB
Optical Society of America Journal Optics and Image Science	OSAJI
Optics & Photonics News	OptPN
Optics and Lasers in Engineering	OptLE
Optics and Spectroscopy	OptSp
Optics Communications	OptCo
Optics Express	OExpr
Optics Express	OptEx
Optics Laser Technology	OptLT
Optics Letters	OptL
Optics News	OptN
Optik	Optik
Optika Atmosfery	OpAt
Optika Atmosfery i Okeana	OpAtO
Optika i Spektroskopiia	OpSp
Optiko Mekhanicheskaia Promyshlennost	OpMeP
Optimal Control Applications and Methods	OCAM
Optoelektronika i Poluprovodnikovaia Tekhnika	OpPuT
Organic Geochemistry	OrGeo
Origins of Life	OrLi
Origins of Life and Evolution of the Biosphere	OLEB
